id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,instagram,url,rss_url,domain,dw_nominate,ideal_point,seniority,next_election,state,district,missed_votes_pct,votes_with_party_pct,chamber,fblike.16.22.5.115,twtrfol-18-23-6-2015
B001270,1996,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001270.json,Karen,NA,Bass,D,RepKarenBass,RepKarenBass,1.91E+14,,http://bass.house.gov,http://bass.house.gov/rss-press-releases.xml,bass.house.gov,NA,NA,6,2014,CA,37,1.89,94.23,house,17721,22350
B001271,2027,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001271.json,Dan,NA,Benishek,R,CongressmanDan,CongressmanDan,1.24E+14,,http://benishek.house.gov,http://benishek.house.gov/rss.xml,benishek.house.gov,NA,NA,6,2014,MI,1,0,92.45,house,5052,9134
B001273,2063,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001273.json,Diane,NA,Black,R,RepDianeBlack,DianeBlackTN06,1.86E+14,,http://black.house.gov,http://black.house.gov/rss.xml,black.house.gov,NA,NA,6,2014,TN,6,0,96.23,house,17360,10866
B001274,1987,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001274.json,Mo,NA,Brooks,R,RepMoBrooks,1.55E+14,1.55E+14,RepMoBrooks,http://brooks.house.gov,http://brooks.house.gov/rss/press-releases.xml,brooks.house.gov,NA,NA,6,2014,AL,5,0,94.34,house,33515,8605
B001275,2018,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001275.json,Larry,NA,Bucshon,R,RepLarryBucshon,RepLarryBucshon,1.36E+14,RepLarryBucshon,http://bucshon.house.gov,http://bucshon.house.gov/rss.xml,bucshon.house.gov,NA,NA,6,2014,IN,8,0,92.45,house,15605,8340
B001278,2092,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001278.json,Suzanne,NA,Bonamici,D,RepBonamici,congresswomanbonamici,2.53E+14,,http://bonamici.house.gov,http://bonamici.house.gov/rss.xml,bonamici.house.gov,NA,NA,6,2014,OR,1,0,96.23,house,7296,4905
B001281,2153,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001281.json,Joyce,NA,Beatty,D,RepBeatty,RepJoyceBeatty,NA,,http://beatty.house.gov,http://beatty.house.gov/rss.xml,beatty.house.gov,NA,NA,4,2014,OH,3,0,96.23,house,3863,3485
B001282,2131,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001282.json,Andy,NA,Barr,R,RepAndyBarr,RepAndyBarr,4.57E+14,,http://barr.house.gov,http://barr.house.gov/rss.xml,barr.house.gov,NA,NA,4,2014,KY,6,0,96.23,house,12243,5642
B001283,2155,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001283.json,Jim,NA,Bridenstine,R,RepJBridenstine,CongressmanJimBridenstine,4.60E+14,,http://bridenstine.house.gov,http://bridenstine.house.gov/rss.xml,bridenstine.house.gov,NA,NA,4,2014,OK,1,0,94.34,house,54878,16079
B001284,2129,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001284.json,Susan,NA,Brooks,R,SusanWBrooks,congresswomansusanwbrooks,5.18E+14,susanwbrooks,http://susanwbrooks.house.gov,http://susanwbrooks.house.gov/rss.xml,susanwbrooks.house.gov,NA,NA,4,2014,IN,5,0,96.23,house,20730,5172
B001285,2106,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001285.json,Julia,NA,Brownley,D,JuliaBrownley26,RepJuliaBrownley,3.31E+14,,http://juliabrownley.house.gov,http://juliabrownley.house.gov/rss.xml,juliabrownley.house.gov,NA,NA,4,2014,CA,26,5.66,84,house,3032,2326
B001286,2127,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001286.json,Cheri,NA,Bustos,D,RepCheri,RepCheri,5.82E+14,,http://bustos.house.gov,http://bustos.house.gov/rss.xml,bustos.house.gov,NA,NA,4,2014,IL,17,0,81.13,house,11778,6548
B001287,2102,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001287.json,Ami,NA,Bera,D,RepBera,RepAmiBera,5.29E+14,,http://bera.house.gov,http://bera.house.gov/rss.xml,bera.house.gov,NA,NA,4,2014,CA,7,5.66,78,house,14005,6843
B001289,2197,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001289.json,Bradley,,Byrne,R,RepByrne,RepByrne,NA,RepByrne,http://byrne.house.gov,http://byrne.house.gov/rss.xml,byrne.house.gov,NA,NA,4,2014,AL,1,0,96.23,house,3863,4504
C000059,165,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000059.json,Ken,NA,Calvert,R,KenCalvert,70063393423,NA,,http://calvert.house.gov,http://calvert.house.gov/news/rss.aspx,calvert.house.gov,NA,NA,24,2014,CA,42,0,96.23,house,3863,5294
C000266,186,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000266.json,Steven,J.,Chabot,R,RepSteveChabot,RepSteveChabot,2.05E+14,RepSteveChabot,http://chabot.house.gov,,chabot.house.gov,NA,NA,6,2014,OH,1,0,96.23,house,7661,10220
